( 43d7, 4b8b ) ( 1797, 4b8b )
( 537b, 74c5 ) ( 1a0b, 74c5 )
( 7c35, b34d ) ( 129d, b34d )
( 47a1, 6bf9 ) ( 63e5, 6bf9 )
( 1345, 1705 ) ( 95d, 1705 )
( d1, 57fb ) ( 41f9, 57fb )
( 859, 3319 ) ( 15c1, 3319 )
( 248b, 626f ) ( 3b23, 626f )
( 20e1, 330b ) ( 19c1, 330b )
( 4339, 4c3f ) ( 21c9, 4c3f )
( 5b4b, 96b3 ) ( 5a8b, 96b3 )
( 35e9, a1e9 ) ( 8959, a1e9 )
( 75c1, 8c71 ) ( 4981, 8c71 )
( 18d7, 3233 ) ( 2d77, 3233 )
( 2297, 459b ) ( 28df, 459b )
( cbb, 3b2f ) ( 12eb, 3b2f )
( f43, 373d ) ( 1d83, 373d )
( 5383, 5fcb ) ( 10fb, 5fcb )
( 50b, 1c87 ) ( 89b, 1c87 )
( 63c3, 697f ) ( 4aab, 697f )
( 5215, 9d6d ) ( 8a31, 9d6d )
( 1c9f, 4793 ) ( 436f, 4793 )
( 753b, 99ef ) ( 90e3, 99ef )
( 1121, 2039 ) ( 8e1, 2039 )
( 7227, 841f ) ( 5f, 841f )
( 538f, b7eb ) ( 29ff, b7eb )
( 191f, 418d ) ( 5f, 418d )
( 54b9, 8e97 ) ( 1de1, 8e97 )
( 1bbb, 2aa9 ) ( 24f7, 2aa9 )
( 3af1, 6a61 ) ( c11, 6a61 )
( 1b6b, 8083 ) ( 7d5b, 8083 )
( 1ad5, 2bdb ) ( 25fd, 2bdb )
( 2f1d, 38ab ) ( 21e5, 38ab )
( 2c09, 3a5d ) ( 2d65, 3a5d )
( a07, 3515 ) ( 2a8f, 3515 )
( 754b, ce9b ) ( 6313, ce9b )
( fcb, 1165 ) ( e03, 1165 )
( 3653, 858d ) ( 486f, 858d )
( 1f7b, 53e1 ) ( 1933, 53e1 )
( 3423, 6307 ) ( 589b, 6307 )
( 70af, 7561 ) ( 17f, 7561 )
( 2daf, 5edf ) ( 3bef, 5edf )
( 3c1d, 4421 ) ( 329, 4421 )
( 1709, 294d ) ( 24b9, 294d )
( 7dc5, 9293 ) ( 5ab5, 9293 )
( de5, 1c87 ) ( 1fd, 1c87 )
( 17a5, 2d47 ) ( 151d, 2d47 )
( 11bf, 34ab ) ( c7f, 34ab )
( 5a11, 64bb ) ( 4f31, 64bb )
( 2149, 3b7d ) ( 28f9, 3b7d )
( 2317, 2d11 ) ( ba7, 2d11 )
( 214f, d3ed ) ( 850f, d3ed )
( 27e3, 2a47 ) ( 1fbb, 2a47 )
( 20e3, 669d ) ( 404b, 669d )
( 158b, 4427 ) ( 1633, 4427 )
( bc3, 5ee1 ) ( 1a3b, 5ee1 )
( 469d, 4e83 ) ( d55, 4e83 )
( f01, 3739 ) ( 33cd, 3739 )
( 65b7, 9fd1 ) ( 93e3, 9fd1 )
( 4213, 666b ) ( 44e3, 666b )
( 230b, 4db9 ) ( 2793, 4db9 )
( 55c9, 9479 ) ( 567d, 9479 )
( 366b, 4271 ) ( 4043, 4271 )
( 1efd, 67b5 ) ( 1231, 67b5 )
( 12b5, 25ff ) ( 47d, 25ff )
( 2a05, 5fbf ) ( 5a4d, 5fbf )
( bcb, 1295 ) ( 11a7, 1295 )
( 5407, 8c71 ) ( 50a7, 8c71 )
( 1267, 6335 ) ( 5077, 6335 )
( 22df, d987 ) ( 545f, d987 )
( 3037, 3ac9 ) ( af7, 3ac9 )
( 2f09, 34b5 ) ( 2ff9, 34b5 )
( c07, 6c0d ) ( 51a3, 6c0d )
( 36af, 6133 ) ( 5a1f, 6133 )
( 256b, 2c95 ) ( b03, 2c95 )
( 881, 2357 ) ( 1b59, 2357 )
( 8a3, aeaf ) ( 190b, aeaf )
( 5db, 64cf ) ( 2133, 64cf )
( 145, 45cd ) ( 2e51, 45cd )
( 3aff, 51fd ) ( 4ff3, 51fd )
( 81f5, 9485 ) ( 415d, 9485 )
( 48a7, 6181 ) ( 3047, 6181 )
( 2447, 3fdf ) ( 25f7, 3fdf )
( 3c11, 57e3 ) ( 1ee9, 57e3 )
( 8db3, ad59 ) ( 3a1f, ad59 )
( cc7, 532d ) ( 3ba7, 532d )
( 23e7, 940d ) ( 8a53, 940d )
( eed, 4d75 ) ( 42b9, 4d75 )
( 29f5, 6adf ) ( 4d95, 6adf )
( 241, 14ad ) ( 799, 14ad )
( 1ed1, 324d ) ( 3a1, 324d )
( 7c0f, c77b ) ( 83bf, c77b )
( 36eb, 4c3f ) ( 2e3, 4c3f )
( 11c3, 404b ) ( 2123, 404b )
( 21d7, 4ff3 ) ( 2627, 4ff3 )
( a8a3, b9c9 ) ( 7b4f, b9c9 )
( 21f7, 3c25 ) ( 32a7, 3c25 )
( 32cf, 4a3f ) ( 230f, 4a3f )
( 2f43, 6ecb ) ( 170b, 6ecb )
( 4f6f, 56c5 ) ( 4f0f, 56c5 )
( 793, 80f9 ) ( 7f1b, 80f9 )
( 5373, 8b1b ) ( 2043, 8b1b )
( dc3, 2d77 ) ( 284b, 2d77 )
( 1073, 1def ) ( 57b, 1def )
( 223d, 2ad1 ) ( 1715, 2ad1 )
( e5, 36d7 ) ( 2c05, 36d7 )
( 19e1, 2dfb ) ( 15c1, 2dfb )
( ea7, 3b93 ) ( ea7, 3b93 )
( 3e27, 7a8d ) ( 6df7, 7a8d )
( 593f, 81c5 ) ( b27, 81c5 )
( 642d, 65c3 ) ( 5f4d, 65c3 )
( 1f7f, 3943 ) ( 28ef, 3943 )
( 2a79, 2bdb ) ( 19e1, 2bdb )
( 7a0f, 940d ) ( 69cb, 940d )
( 3125, 5dbf ) ( 193d, 5dbf )
( 2a7d, 99ef ) ( 4595, 99ef )
( 3515, a405 ) ( 51e9, a405 )
( 10a3, 3563 ) ( 1163, 3563 )
( 5363, 80f9 ) ( 2dcb, 80f9 )
( 8153, 8549 ) ( 744b, 8549 )
( 2b8b, 2ed9 ) ( 11b7, 2ed9 )
( 1bd9, 3d5b ) ( 1789, 3d5b )
( 54bf, 9967 ) ( 387f, 9967 )
( 33bf, 7691 ) ( 167f, 7691 )
( 2aaf, 3dc3 ) ( 394f, 3dc3 )
( 79, 3319 ) ( 2c65, 3319 )
( 2587, 495b ) ( 1aa7, 495b )
( 5219, 60dd ) ( 2669, 60dd )
( 943, 5057 ) ( 15eb, 5057 )
( 64ff, 68cb ) ( 19ff, 68cb )
( 3493, 37ed ) ( 1e1f, 37ed )
( 175d, 773b ) ( 515, 773b )
( 40eb, b075 ) ( 912b, b075 )
( 3fc1, 4469 ) ( 1e01, 4469 )
( 2de7, 4d7d ) ( 1e33, 4d7d )
( 4bc5, 553f ) ( 2255, 553f )
( 8b7, 404f ) ( 317f, 404f )
( 2ad7, 484d ) ( 254f, 484d )
( 337, 1f15 ) ( ea7, 1f15 )
( 329f, 6637 ) ( 90f, 6637 )
( 2437, d031 ) ( 2137, d031 )
( 99df, 9fd1 ) ( 1267, 9fd1 )
( 29f5, 666b ) ( 2605, 666b )
( 3b7d, 6ecb ) ( 1ad5, 6ecb )
( 3319, 5e4b ) ( 43a9, 5e4b )
( be3, 41b1 ) ( 3847, 41b1 )
( 1e95, 3d69 ) ( 1c79, 3d69 )
( 8279, 9fd1 ) ( 8729, 9fd1 )
( 5cf5, 7c75 ) ( 2f65, 7c75 )
( 2ed3, c77b ) ( 1a03, c77b )
( 213d, c4fd ) ( 759d, c4fd )
( 10d5, 199d ) ( 6d9, 199d )
( 1b3b, 2a79 ) ( 4cf, 2a79 )
( 955, 5369 ) ( 3619, 5369 )
( 270f, 2e51 ) ( 2abb, 2e51 )
( 2edb, 460d ) ( 22f3, 460d )
( 3863, 4f03 ) ( d4b, 4f03 )
( 7439, 99ef ) ( 2c99, 99ef )
( 2d35, 4d87 ) ( 42dd, 4d87 )
( 3773, b075 ) ( 6923, b075 )
( 62f9, 6ea1 ) ( 5b25, 6ea1 )
( 2afb, 44b9 ) ( 3b3, 44b9 )
( 14b, b7cd ) ( 727, b7cd )
( 20b7, 3515 ) ( 1bbf, 3515 )
( 173b, 268d ) ( 110b, 268d )
( 78c5, a8fb ) ( 9d3d, a8fb )
( ab5, 1c91 ) ( 16e5, 1c91 )
( 27c1, 4c3f ) ( 1a61, 4c3f )
( 2c03, 9923 ) ( 5afb, 9923 )
( 42b, 3b7d ) ( 1403, 3b7d )
( 3ded, 4e83 ) ( 37ed, 4e83 )
( 833, 1ae7 ) ( b7b, 1ae7 )
( 7159, 7d6f ) ( 30a9, 7d6f )
( fdd, 21b9 ) ( 1d75, 21b9 )
( 1a87, 1ba9 ) ( 1937, 1ba9 )
( 4ca3, b203 ) ( 5cf3, b203 )
( 8f, 70a9 ) ( 678b, 70a9 )
( b83, 4b67 ) ( 18eb, 4b67 )
( 1001, 7d6f ) ( 7be9, 7d6f )
( 847, 143f ) ( 757, 143f )
( 23e7, 418d ) ( 2dd7, 418d )
( 1733, 2e99 ) ( 1d87, 2e99 )
( 4765, 5a59 ) ( 258d, 5a59 )
( 772f, 96b3 ) ( 2a07, 96b3 )
( 1219, 4db9 ) ( 4779, 4db9 )
( 301, 3f47 ) ( 1681, 3f47 )
( 54cd, 7b53 ) ( 2a25, 7b53 )
( 44bf, 5369 ) ( 161b, 5369 )
( 1fcd, 304f ) ( afd, 304f )
( 14bd, 4eeb ) ( 1b25, 4eeb )
( 2e33, 72a9 ) ( 6abb, 72a9 )
( 8f3, 799d ) ( 5ab, 799d )
( 345d, 7915 ) ( 48a9, 7915 )
( 1dbd, 99ef ) ( 25cd, 99ef )
( 34df, 3a5d ) ( 30ef, 3a5d )
( 1ed9, 9d75 ) ( 1ac9, 9d75 )
( fc7, 2f9f ) ( 1417, 2f9f )
( 2605, 4319 ) ( 24cd, 4319 )
( 2f45, 3eed ) ( 346d, 3eed )
( 311, 1687 ) ( e81, 1687 )
( 3bc9, c5bd ) ( 41f9, c5bd )
( cfd, 1b77 ) ( 865, 1b77 )
( 382f, 4ff3 ) ( e8f, 4ff3 )
( 4501, 52d9 ) ( d45, 52d9 )
( 44ad, 5161 ) ( 2c39, 5161 )
( 6f9d, 982d ) ( 45f1, 982d )
( 1ea9, 5b55 ) ( 2da9, 5b55 )
( aa11, db59 ) ( a2f1, db59 )
( 859, 733f ) ( c79, 733f )
( c59, 6a61 ) ( 3fe9, 6a61 )
( 3589, 4d87 ) ( 3379, 4d87 )
( 805, 1ae7 ) ( 180d, 1ae7 )
( 5c75, 6995 ) ( 4d75, 6995 )
( 1431, 461b ) ( 991, 461b )
( 164f, 1a6f ) ( a1f, 1a6f )
( ae5, 1a6f ) ( 1715, 1a6f )
( 1c69, 2a47 ) ( 1309, 2a47 )
( 4329, 595f ) ( 16b9, 595f )
( 1a0b, 5257 ) ( 82b, 5257 )
( 2dfd, 3ac9 ) ( 4d5, 3ac9 )
( 1985, 5317 ) ( 6d, 5317 )
( cb, 9ac1 ) ( 90e3, 9ac1 )
( 733, b35 ) ( 967, b35 )
( 8bc9, afa9 ) ( 2479, afa9 )
( 29b9, 484d ) ( 1645, 484d )
( 1d7b, 56f5 ) ( 2833, 56f5 )
( 98a1, b039 ) ( 3b71, b039 )
( 3619, 6281 ) ( 4b31, 6281 )
( ddf, 20bf ) ( 15f, 20bf )
( 6569, 7cb1 ) ( 7819, 7cb1 )
( 171f, 3ac9 ) ( 22af, 3ac9 )
( ef5, 1def ) ( 39d, 1def )
( 2135, 2d11 ) ( 205d, 2d11 )
( 324f, 78f7 ) ( 7e7, 78f7 )
( 1a0b, 6995 ) ( 9c7, 6995 )
( 1bfb, 8e97 ) ( 6da3, 8e97 )
( 135b, 68cb ) ( 2453, 68cb )
( 5cb, 288b ) ( 1ea3, 288b )
( 1b25, 404b ) ( 2935, 404b )
( fe7, 461b ) ( 2b17, 461b )
( 14af, 3817 ) ( 15cf, 3817 )
( 2a4b, 92fb ) ( 845b, 92fb )
( 6d2b, 9563 ) ( 6a2b, 9563 )
( 3563, 59d7 ) ( 16d3, 59d7 )
( ce9, 2a7d ) ( 659, 2a7d )
( 3587, 38bf ) ( 30d7, 38bf )
( bdb9, e087 ) ( 9299, e087 )
( 2dc5, 532d ) ( 1f01, 532d )
( c23, 5bed ) ( 1c4b, 5bed )
( 2f5, 414d ) ( 165d, 414d )
( 1a2f, 34f9 ) ( 2b9f, 34f9 )
( 14ad, 5a59 ) ( 4df5, 5a59 )
( 917, 1c03 ) ( 1877, 1c03 )
( 103, 2e99 ) ( 40f, 2e99 )
( 4949, 8113 ) ( 6451, 8113 )
( 3729, 6637 ) ( 5079, 6637 )
( 4619, 71f9 ) ( 9a1, 71f9 )
( 4d81, 6181 ) ( 4601, 6181 )
( 37, 9293 ) ( 2f77, 9293 )
( 3493, 4469 ) ( 40c3, 4469 )
( 21c7, 57e3 ) ( 12af, 57e3 )
( dfd, 3943 ) ( 7f5, 3943 )
( 701, 1c03 ) ( 1619, 1c03 )
( 489f, af81 ) ( 3e8b, af81 )
( 2125, 4b8b ) ( 26ad, 4b8b )
( 148d, 1b77 ) ( ff5, 1b77 )
( 977, 5f15 ) ( 1187, 5f15 )
( 1de1, 2707 ) ( 1de1, 2707 )
( 2fb9, 6af7 ) ( 65d1, 6af7 )
( 3f71, 62c3 ) ( 4c91, 62c3 )
( 39d7, 3dd9 ) ( 1e8f, 3dd9 )
( e7b, 7291 ) ( 4d33, 7291 )
( 12a9, bb19 ) ( 87c1, bb19 )
( 1233, 25ff ) ( 1f7b, 25ff )
( 3f53, 4d7d ) ( e53, 4d7d )
( 4517, 8e27 ) ( e27, 8e27 )
( 1537, 60dd ) ( 3067, 60dd )
( 470f, 91cf ) ( 5a5f, 91cf )
( 36e5, 60f7 ) ( 54d, 60f7 )
( 27c7, 31a3 ) ( 1ef7, 31a3 )
( 18df, 2f9f ) ( 256f, 2f9f )
( 12f7, 2dfb ) ( 121f, 2dfb )
( 1b31, 6a55 ) ( 279d, 6a55 )
( 24cd, 304f ) ( 129d, 304f )
( 2a8b, 7ae3 ) ( 48a3, 7ae3 )
( 2c9d, b251 ) ( 65a5, b251 )
( 1835, 292d ) ( 2105, 292d )
( 83, 2f9f ) ( d8b, 2f9f )
( 2383, 29e1 ) ( 1f4b, 29e1 )
( 3caf, 3e47 ) ( b37, 3e47 )
( e3b, 3a19 ) ( 1363, 3a19 )
( 15d, 268d ) ( e7d, 268d )
( 733f, 8083 ) ( 3fc7, 8083 )
( 25ff, 5ec1 ) ( 3523, 5ec1 )
( 5983, 6163 ) ( 580b, 6163 )
( aab, 8659 ) ( 3a3f, 8659 )
( 7ed, 4a3f ) ( 3085, 4a3f )
( 2d31, 4249 ) ( 2499, 4249 )
( 4b41, 6131 ) ( 5dd1, 6131 )
( 71d7, 9967 ) ( 1f0f, 9967 )
( a01, d06d ) ( 7481, d06d )
( 1d29, 63f7 ) ( 3541, 63f7 )
( 26ad, 3aaf ) ( 3085, 3aaf )
( 20c5, 5161 ) ( 1779, 5161 )
( 483b, 50cf ) ( 3f53, 50cf )
( 25c3, 2b0d ) ( 18d3, 2b0d )
( 499, 37c7 ) ( 3631, 37c7 )
( 2b57, 5b55 ) ( 33eb, 5b55 )
( 1661, 3d69 ) ( ce9, 3d69 )
( 574d, 8653 ) ( 6df5, 8653 )
( 4087, 6247 ) ( fc7, 6247 )
( 2a89, 3f47 ) ( 1679, 3f47 )
( 461b, 598f ) ( 2c13, 598f )
( 3569, 44b9 ) ( 2159, 44b9 )
( 1c91, 64bb ) ( 5831, 64bb )
( 20cb, 8c71 ) ( 25f3, 8c71 )
( 2ec1, 940d ) ( 8f15, 940d )
( f05, 765d ) ( 70cd, 765d )
( 10cd, 292d ) ( 1505, 292d )
( 9847, 99ef ) ( 50a7, 99ef )
( 2311, 4d11 ) ( 2cd1, 4d11 )
( 2fbf, 50e7 ) ( 1147, 50e7 )
( 6d57, a661 ) ( 367f, a661 )
( 1553, 7561 ) ( 3b87, 7561 )
( 260d, 89bf ) ( 2cc5, 89bf )
( 4f5d, 8e27 ) ( 73d5, 8e27 )
( 91d, 29e1 ) ( da9, 29e1 )
( 5783, 9d37 ) ( 42b, 9d37 )
( 11c3, 131b ) ( c0b, 131b )
( 599, 37ed ) ( e81, 37ed )
( 5c77, 9d37 ) ( 86a7, 9d37 )
( 611, 3a85 ) ( 2591, 3a85 )
( 63b3, 7b41 ) ( 5bdf, 7b41 )
( 4151, 85e5 ) ( 73f1, 85e5 )
( 38dd, 4d87 ) ( 7d5, 4d87 )
( 523d, ce9b ) ( cac5, ce9b )
( d3f, 39d3 ) ( 2eff, 39d3 )
( a5b, 1f73 ) ( 1a93, 1f73 )
( 3373, 3cc1 ) ( f5b, 3cc1 )
( 6cdf, 799d ) ( 457, 799d )
( 38d7, 404b ) ( 3427, 404b )
( 3f55, 5d35 ) ( 2e75, 5d35 )
( 4aed, 721d ) ( 3251, 721d )
( 1969, 47f3 ) ( 2239, 47f3 )
( 568d, 7055 ) ( 5f45, 7055 )
( 2243, a07f ) ( 1efb, a07f )
( 79f7, 826d ) ( 16c7, 826d )
( 6f1, 719b ) ( 61, 719b )
( 1c0d, 34b5 ) ( 731, 34b5 )
( 2c8f, 3b8f ) ( 5ef, 3b8f )
( 52cd, 55d3 ) ( 16d, 55d3 )
( 9dd, 2bb5 ) ( 1fd9, 2bb5 )
( 16ed, 80f9 ) ( 5ae5, 80f9 )
( a6f, 91cf ) ( 6caf, 91cf )
( d61, 666b ) ( 4f91, 666b )
( 579b, 6637 ) ( 59b3, 6637 )
( 3e3b, 484d ) ( aab, 484d )
( 12cb, 3b2f ) ( 1bb, 3b2f )
( 5ca9, 6433 ) ( 46b9, 6433 )
( 3bc3, 57fb ) ( a8b, 57fb )
( 1cb7, 2f9f ) ( 16e7, 2f9f )
( 7e5, 64bb ) ( 238d, 64bb )
( adb3, af81 ) ( a34b, af81 )
( 2f1b, 51fd ) ( 21b, 51fd )
( acd9, b177 ) ( 5ad1, b177 )
( 5015, 51fd ) ( 1451, 51fd )
( 54f9, 5887 ) ( 35d1, 5887 )
( b0d, 2e51 ) ( cb1, 2e51 )
( 5d31, 8549 ) ( 30f1, 8549 )
( 2677, 2bb5 ) ( 943, 2bb5 )
( 21e9, 4db9 ) ( 2aa9, 4db9 )
( 29, 382d ) ( 6b9, 382d )
( 84f5, 9089 ) ( 8105, 9089 )
( 625, 2b0d ) ( 475, 2b0d )
( 23ed, 4a3f ) ( 1775, 4a3f )
( 2a5b, 404f ) ( 1afb, 404f )
( 36e9, 62b9 ) ( c5, 62b9 )
( 4085, 6131 ) ( 4325, 6131 )
( 4f2f, ea55 ) ( 40f7, ea55 )
( 1cb1, 6a7f ) ( 991, 6a7f )
( 2e7, 21a3 ) ( 347, 21a3 )
( 99, 3ac9 ) ( 1529, 3ac9 )
( 81b9, 8e27 ) ( e69, 8e27 )
( 2029, 4469 ) ( 1b91, 4469 )
( 59f, 5603 ) ( 3f5f, 5603 )
( 355, 721d ) ( 6ff1, 721d )
( 4747, ec4b ) ( 19b7, ec4b )
( 439d, 6adf ) ( 4c85, 6adf )
( 7df3, 7fe7 ) ( 6c3b, 7fe7 )
( 27e5, 2d8b ) ( 13d, 2d8b )
( 258d, 81d1 ) ( 2a31, 81d1 )
( 3b45, 44d1 ) ( e8d, 44d1 )
( ea7, 418d ) ( 517, 418d )
( 20fb, ad59 ) ( 9763, ad59 )
( 8923, b42f ) ( 6c8b, b42f )
( 4133, 53e1 ) ( 10eb, 53e1 )
( 205d, 68cb ) ( 3275, 68cb )
( 219, 2455 ) ( 2119, 2455 )
( 1e13, 3f71 ) ( d1b, 3f71 )
( ad3f, b9c9 ) ( 6173, b9c9 )
( 29ff, 2d11 ) ( 84b, 2d11 )
( 284d, 4c3f ) ( 35a5, 4c3f )
( 2f2d, db59 ) ( 8a5, db59 )
( 1951, 2165 ) ( 1fed, 2165 )
( 2dd3, 5b99 ) ( 335f, 5b99 )
( f47, 28a3 ) ( 1f37, 28a3 )
( 21, 1f57 ) ( 1821, 1f57 )
( 15d7, 34ab ) ( e27, 34ab )
( 17f9, 339d ) ( 11c9, 339d )
( 2e4f, 6c0d ) ( 336b, 6c0d )
( 12af, 1963 ) ( 148f, 1963 )
( d4f, 2e99 ) ( 1bb, 2e99 )
( 1411, 40fd ) ( 1d95, 40fd )
( 30f1, 9f13 ) ( 991, 9f13 )
( 3a93, 5603 ) ( 4fdb, 5603 )
( 3bbb, 773b ) ( 5f33, 773b )
( 1643, 2707 ) ( 42b, 2707 )
( 995, 1e3b ) ( 1655, 1e3b )
( 1b37, a25f ) ( 68ef, a25f )
( 2e23, 8113 ) ( 1023, 8113 )
( 1cbb, 46ab ) ( 2a6b, 46ab )
( 2981, aca5 ) ( 1481, aca5 )
( 663d, 7055 ) ( 6715, 7055 )
( 20c3, 62c3 ) ( 336b, 62c3 )
( 347, 6181 ) ( 58f7, 6181 )
( 14c9, 2e7b ) ( 6e9, 2e7b )
( 2f95, 9bed ) ( 3235, 9bed )
( 2e6f, 721d ) ( 5413, 721d )
( 4b3b, 4cd9 ) ( 47f3, 4cd9 )
( 8f, 42a7 ) ( d4f, 42a7 )
( 4691, 4f9d ) ( 4d51, 4f9d )
( bd9b, d3ed ) ( 8103, d3ed )
( dcd, 96b3 ) ( 1b05, 96b3 )
( 3993, 4b5b ) ( 4113, 4b5b )
( 37a9, 49eb ) ( 30d1, 49eb )
( 8ebb, c6a3 ) ( 9893, c6a3 )
( 10d9, 1fc9 ) ( fe9, 1fc9 )
( 37b7, 418d ) ( 1e07, 418d )
( 3733, 4ff3 ) ( 32fb, 4ff3 )
( 4045, 7b41 ) ( 5bd5, 7b41 )
( 4039, 5fcb ) ( 5729, 5fcb )
( 2407, 3415 ) ( 26cb, 3415 )
( 317b, cb0f ) ( 2f83, cb0f )
( 39dd, 4793 ) ( 3635, 4793 )
( af1, 7691 ) ( 190d, 7691 )
( 3287, 4271 ) ( c77, 4271 )
( 4841, 56c5 ) ( c41, 56c5 )
( 1849, 3731 ) ( 17f5, 3731 )
( 313f, 8849 ) ( 2803, 8849 )
( f9b, 2d11 ) ( 2093, 2d11 )
( 48bf, 9f13 ) ( 6fbf, 9f13 )
( 5941, 60a7 ) ( 1f21, 60a7 )
( 3c37, 4319 ) ( 3787, 4319 )
( 25d3, d795 ) ( a65b, d795 )
( 941, 49a9 ) ( 2351, 49a9 )
( 32dd, 5c9f ) ( 44ad, 5c9f )
( 245f, 27a3 ) ( a4f, 27a3 )
( 51f, 7cb1 ) ( 369f, 7cb1 )
( 2893, 3b2f ) ( ddb, 3b2f )
( 2971, 3319 ) ( 661, 3319 )
( 95f, 3fdf ) ( 1cff, 3fdf )
( d01, 3f83 ) ( 2651, 3f83 )
( f25, 3b8f ) ( 29ad, 3b8f )
( 300d, 50e7 ) ( 22ed, 50e7 )
( 37ab, 52d9 ) ( 215b, 52d9 )
( ec5, 2cc5 ) ( 258d, 2cc5 )
( 18b3, 2bdb ) ( d8b, 2bdb )
( 863f, aeaf ) ( 4227, aeaf )
( 5c77, 9293 ) ( 7cff, 9293 )
( 19c7, 2d11 ) ( 1f4f, 2d11 )
( 3059, 533f ) ( 10d9, 533f )
( 58e7, 8167 ) ( 14ef, 8167 )
( 4f3f, 752f ) ( 3dcf, 752f )
( 611, 626f ) ( 611, 626f )
( 1cbf, 3fdf ) ( 2407, 3fdf )
( 1849, 2d77 ) ( 2419, 2d77 )
( 1655, 2b01 ) ( 1ead, 2b01 )
( 1f33, 4c37 ) ( 3dc3, 4c37 )
( 73d, 25e5 ) ( c95, 25e5 )
( 40c3, 4f03 ) ( 43ab, 4f03 )
( 137f, 199d ) ( 74f, 199d )
( ed7, c4fd ) ( 85ab, c4fd )
( 2fc7, 484f ) ( 3b17, 484f )
( 22d9, 8167 ) ( 7919, 8167 )
( ae5, 1ccd ) ( 6ad, 1ccd )
( 49f, 404b ) ( 1abf, 404b )
( 1d2f, 57e3 ) ( 466f, 57e3 )
( 313f, 752f ) ( 6acf, 752f )
( a99, a4bd ) ( 2389, a4bd )
( 75d7, b975 ) ( 89e7, b975 )
( 887, 1a6f ) ( 287, 1a6f )
( bc9, 65d5 ) ( 30f5, 65d5 )
( 4895, 547f ) ( 4ffd, 547f )
( fd1, 1f73 ) ( 1031, 1f73 )
( 95f, 1961 ) ( 119f, 1961 )
( 78d1, 8389 ) ( 1751, 8389 )
( 109d, 1d5f ) ( 1535, 1d5f )
( 2b03, 43d3 ) ( 176b, 43d3 )
( fb9, 3155 ) ( 1229, 3155 )
